Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth,Min Depth,Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,
Email ,Cindy Lewis & Tom Bartlett,5/30/2014,11:00,Long Key,FL,Research,Keys Marine Lab,24.72505,-80.91887,no data,East Turtle Shoals,no data,patch reef,10-15 kts,85,82,82,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,5/30/2014,12:00,Long Key,FL,Research,Keys Marine Lab,24.71283,-80.94525,21,Middle Turtle Shoals,no data,patch reef,10-15 kts,85,82,82,clear,NO,none,none,none,none,none,none,none,0%,15,0,no data,no data,no data,purple blotch on Ssid,
Email ,Cindy Lewis & Tom Bartlett,5/30/2014,13:30,Long Key,FL,Research,Keys Marine Lab,24.73237,-80.90117,25,Lion's Lair,no data,patch reef,10-15 kts,85,82,82,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,purple blotch on Ssid; lots of Lionfish!,
Email ,Tyler Stepanek,5/30/2014,11:00,Summerland Key,FL,Education,Order of the Arrow,24.62232,-81.36407,15,no data,no data,patch reef,10-15 kts,81,no data,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Tyler Stepanek,5/31/2014,15:00,Summerland Key,FL,Education,Order of the Arrow,24.52512,-81.51948,10,no data,no data,patch reef,10-15 kts,81,no data,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Corals knocked over from fast currents and wave action.,
In person,Cory Walter,6/2/2014,14:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.62671,-82.89661,24,DRTO Nursery,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/3/2014,11:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.61913,-82.92278,18,DRTO Birthday Reef,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/3/2014,15:20,Summerland Key,FL,Research,Mote Marine Laboratory,24.61969,-82.92044,20,DRTO Biota Box,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/4/2014,9:40,Summerland Key,FL,Research,Mote Marine Laboratory,24.66927,-82.90843,22,DRTO Offramp,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/4/2014,11:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.66405,-82.91243,24,DRTO Perfection,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,6/4/2014,10:00,Long Key,FL,Research,Keys Marine Lab,24.90047,-80.61723,20,Cheeca Rocks SPA,no data,patch reef,5-10 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,6/4/2014,12:00,Long Key,FL,Research,Keys Marine Lab,24.62400,-80.84570,25,Alligator SPA,no data,reef,5-10 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,6/4/2014,13:00,Long Key,FL,Research,Keys Marine Lab,24.77828,-80.73590,25,Stag Party East,no data,patch reef,5-10 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/5/2014,12:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.60998,-83.08805,65,Near Bat Cave,no data,deep reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/6/2014,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.56749,-81.38804,25,"ROA, Steph's site",no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Tyler Stepanek,6/6/2014,11:00,Summerland Key,FL,Education,Order of the Arrow,24.76640,-81.57558,no data,no data,no data,patch reef,no data,no data,no data,no data,partly cloudy,YES,paling,none,paling,none,none,none,none,1-10%,5,10,no data,no data,no data,White band disease on Brain Coral.,
Email ,Cindy Lewis & Tom Bartlett,6/10/2014,13:00,Long Key,FL,Research,Keys Marine Lab,24.57997,-81.28777,30,Bahia Honda Pillars,no data,patch reef,10-15 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,6/10/2014,14:30,Long Key,FL,Research,Keys Marine Lab,24.58512,-81.25318,30,Bahia Honda Pillars 3,no data,patch reef,10-15 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Cindy Lewis & Tom Bartlett,6/10/2014,15:30,Long Key,FL,Research,Keys Marine Lab,24.58987,-81.24923,30,Bahia Honda Pillars 4,no data,patch reef,10-15 kts,80,80,80,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
Email ,Jessica Pulfer,6/11/2014,9:45,Key Largo,FL,Education,Marine Resources,25.13963,-80.29403,20,Horseshoe Reef,North ball,reef,0-5 kts,no data,no data,no data,partly cloudy,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,18,5,palythoa,no data,no data,,
Email ,Jessica Pulfer,6/11/2014,10:30,Key Largo,FL,Education,Marine Resources,25.13633,-80.28932,20,North Dry Rocks,Middle ball,reef,0-5 kts,no data,no data,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/11/2014,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55182,-81.38751,no data,Site N,no data,patch reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/11/2014,12:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55116,-81.38960,no data,Site H,no data,patch reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
In person,Cory Walter,6/11/2014,14:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.57917,-81.49692,no data,Birthday Reef,no data,mid-channel reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,
