Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes
Email, Danielle Morley,5/31/2015,9:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.68023,-82.88533,60, Dry Tortugas National Park,Texas Rock,Patch Reef, 5-10 kts,84,82,82,partly cloudy,YES,paling,none,paling,none,none,none,none,1-10%,30,25,no data,no data,no data,I only observed one coral head of strigosa paling on the entire dive.
In Person, Cory Walter,6/3/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.55245,-81.38409,no data, Site A Outplant,no data,Bank Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/4/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.45225,-81.87936,25, Sand Key,no data,Bank Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/8/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.59565,-81.37162,no data, Munson Reef,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/10/2015,9:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.54573,-81.40522,22, Looe Key SPA,buoy 13,Bank Reef, 0-5 kts,no data,81,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/11/2015,9:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.54948,-81.37972,77, Hill's Research Site, East of Looe,Deep Reef, 5-10 kts,no data,no data,no data,no data,YES,paling,none,paling,paling,none,none,none,1-10%,77,40,no data,no data,no data,Lots of lionfish there!!  Mostly just SSID paling
In Person, Cory Walter,6/11/2015,12:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.62148,-81.36317,15,Inshore Coral Culture,no data,Hardbottom ,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data, 
In Person, Cory Walter,6/11/2015,13:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.59297,-81.39802,25, Original Birthday,no data,Patch Reef,no data,no data,no data,no data,mostly cloudy,YES,paling,none,paling,paling,none,none,none,1-10%,25,17,fire coral,no data,no data,
Email, Mitch Andrews,6/15/2015,9:30,Summerland Key,FL,Education,Order of the Arrow,24.54467,-81.40968,25, Sombrero Reef SPA, North of Lighthouse,Hardbottom ,no data,no data,no data,no data,partly cloudy,YES,upper surface,none,none,partial bleaching,none,none,none,1-10%,25,20,no data,no data,no data,
In Person, Cory Walter,6/15/2015,14:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.55245,-82.89775,22,Davis Reef,Davis Reef,Bank Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/16/2015,9:30,Summerland Key,FL, Research,Mote Marine Laboratory,24.61969,-82.92044,16, Dry Tortugas National Park,Site 1,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/17/2015,10:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.61889,-82.92301,24, Dry Tortugas National Park,Site 2,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/17/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.64554,-83.03252,69, Joe's Reef,no data,Deep Reef,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
In Person, Cory Walter,6/18/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.61006,-82.94866,no data, Dry Tortugas National Park,The Maze,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,6/19/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.75568,-80.74890,78, Tennessee Reef , KERR4,Deep Reef, 5-10 kts,88,84,84,clear,YES,paling,none,none,paling,none,none,paling,1-10%,80,60,gorgonians,no data,no data," S sid, Eusmillia, Pseudoplexaura dead X muta - wasting disease?"
Email, Cindy Lewis,6/19/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.82457,-80.68630,20, Alligator Reef SPA, COF SFTCRL2,Patch Reef, 5-10 kts,88,86,86,clear,YES,paling,none,paling,none,none,none,none,1-10%,20,15,no data,no data,no data," D strig - upper surface (photo submitted) C nat, D strig (also observed at this site 5/10/2015) BBD"
Email, Mitch Andrews,6/20/2015,12:00,Summerland Key,FL,Education,Order of the Arrow,24.62953,-81.11252,20, Looe Key SPA, Far East Bouy,Bank Reef, 0-5 kts,no data,no data,no data,partly cloudy,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.56267,-81.56262,30,Maryland Shoals,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,none,paling,partial bleaching,partial bleaching,none,none,no data,no data,no data,gorgonians,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.60225,-81.20513,26,South of Little Duck Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.59208,-81.21892,49,South of Little Duck Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.58542,-81.25268,32,South of Bahia Honda Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.66948,-81.06467,30,East Washerwoman Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.51100,-81.56720,21,Maryland Shoals,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.52738,-81.52293,12,American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.52190,-81.52278,27,American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,6/20/2015,no data,Key Largo ,FL,Research,NOAA,24.52608,-81.50367,26,American Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
