Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/17/2016,10:00,Islamorada ,FL,Research, Florida Park Service (FPS),25.22225,-80.28008,6, Basin Hill Shoals - Basin Open 2 Research site, Unmarked reef in Pennekamp. Entire reef was surveyed, Mid-Channel Reef,no data,no data,no data,no data,partly cloudy,Yes,paling,paling,paling,paling,none,none,none,1-10%,4,5,no data,no data,no data,We also observed dark spot disease on 9 colonies of SSID and black band disease on one colony of OFAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/17/2016,14:30,Islamorada ,FL,Research, Florida Park Service (FPS),25.21695,-80.27827,6, Basin Hill Shoals - Basin Open 1 research site, Unmarked reef in Pennekamp. Entire reef was surveyed, Mid-Channel Reef,no data,no data,no data,no data,partly cloudy,Yes,paling,partial bleaching,paling,paling,none,none,none,1-10%,4,6,no data,no data,no data,"We also observed dark spot disease on 5 colonies of SSID, and fish bites on one colony of OANN, one colony of OFAV, and three colonies of OFAV",,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/17/2016,13:00,Islamorada ,FL,Research, Florida Park Service (FPS),25.21650,-80.28770,7, Basin Hill Shoals - Basin Closed research only site in Pennekamp, Reef marked with Research Only buoys. , Mid-Channel Reef,no data,no data,no data,no data,partly cloudy,Yes,paling,paling,partial bleaching,paling,none,none,none,1-10%,5,10,no data,no data,no data,"We also observed dark spot disease on 18 colonies of SSID, and fish bites on 11 colonies of SSID and 3 colonies of PPOR",,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/18/2016,12:00,Islamorada ,FL,Research, Florida Park Service (FPS),25.07293,-80.37920,7, Mosquito Banks - Mosquito Research Only site, Reef marked with Research Only buoys. , Mid-Channel Reef,no data,no data,no data,no data,mostly cloudy,Yes,paling,paling,paling,paling,none,none,none,11-30%,5,7,fire coral,no data,no data,We also observed dark spot disease on 25 colonies of SSID. (Plus a horse conch predating a queen conch), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/18/2016,10:00,Islamorada ,FL,Research, Florida Park Service (FPS),25.07446,-80.37673,10, Mosquito Banks - Mosquito Open North research site, Unmarked reef in Pennekamp. Entire reef was surveyed, Mid-Channel Reef,no data,no data,no data,no data,mostly cloudy,Yes,paling,none,paling,paling,partial bleaching,none,none,11-30%,4,10,fire coral,no data,no data,We also observed fish bites on one colony of PPOR and dark spot disease on 36 colonies of SSID and one colony of SINT,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/18/2016,14:00,Islamorada ,FL,Research, Florida Park Service (FPS),25.07895,-80.37756,5, Mosquito Banks - Mosquito Buoyed north research site, Reef marked with Research Only buoys. , Mid-Channel Reef,no data,no data,no data,no data,mostly cloudy,Yes,paling,paling,paling,paling,none,none,none,11-30%,3,5,fire coral,palythoa,no data,We also observed dark spot disease on 99 colonies of SSID, ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Janice Duquesnel,5/18/2016,no data,Islamorada ,FL,Research, Florida Park Service (FPS),25.07256,-80.39010,7, Mosquito Banks - Moquito Buoyed south research site, Reef marked with Research Only buoys. ,Bank Reef,no data,no data,no data,no data,cloudy,Yes,partial bleaching,paling,none,partial bleaching,none,none,none,11-30%,4,7,no data,no data,no data,"We also observed dark spot disease on 30 colonies of SSID and on one colony of SINT.  The 2010 cold water bleaching event resulted in a 75-80% loss of coral coverage at the five sites at Mosquito Banks and only a 6% loss of coral at the three Basin Hill Shoals sites.  We observed mortality at the Mosquito Banks sites of  stony coral species including PAST, PPOR, DLAB, MCAV, OFAV and OANN which resulted in a loss of diversity. SSID, SINT and SBOU are now the prevalent stony coral species. We have also observed an increase in the abundance of octocoral species at the five sites at Mosquito Banks particularly of Gorgonia ventalina, Gorgonia flabellum, Briareum asbestinum, Plexaura homomalla, Pseduoplexaura spp., Eunicea spp., Muricea spp. and Pseudopterogorgia spp.", , ,, , ,,,, , , ,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,5/31/2016,10:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53840,-81.45338,22, Site U/SWG Outplant Site,no data,other/don't know, 5-10 kts,no data,84,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,, ,, ,,,,, ,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,6/1/2016,12:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45275,-81.87515,22, Sand Key,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,6/2/2016,9:30,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.76550,-80.75218,30, Middle Keys, Tennessee ROA Big Anchor,Bank Reef, 5-10 kts,86,86,86,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"no disease observed, dense macro algal cover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
