bw_date,bw_lat,bw_lon,reef_zone,cloud_cover,bleaching,bleaching_sev,notes
5/30/2014,24.72505,-80.91887,patch reef,clear,no,0%,
5/30/2014,24.71283,-80.94525,patch reef,clear,no,0%,purple blotch on Ssid
5/30/2014,24.73237,-80.90117,patch reef,clear,no,0%,purple blotch on Ssid; lots of Lionfish!
5/30/2014,24.62232,-81.36407,patch reef,partly cloudy,no,0%,
5/31/2014,24.52512,-81.51948,patch reef,partly cloudy,no,0%,Corals knocked over from fast currents and wave action.
6/2/2014,24.62671,-82.89661,other/don't know,no data,no,0%,
6/3/2014,24.61913,-82.92278,other/don't know,no data,no,0%,
6/3/2014,24.61969,-82.92044,other/don't know,no data,no,0%,
6/4/2014,24.66927,-82.90843,other/don't know,no data,no,0%,
6/4/2014,24.66405,-82.91243,other/don't know,no data,no,0%,
6/4/2014,24.90047,-80.61723,patch reef,clear,no,0%,
6/4/2014,24.624,-80.8457,reef,clear,no,0%,
6/4/2014,24.77828,-80.7359,patch reef,clear,no,0%,
6/5/2014,24.60998,-83.08805,deep reef,no data,no,0%,
6/6/2014,24.56749,-81.38804,other/don't know,no data,no,0%,
6/6/2014,24.7664,-81.57558,patch reef,partly cloudy,yes,1-10%,White band disease on Brain Coral.
6/10/2014,24.57997,-81.28777,patch reef,clear,no,0%,
6/10/2014,24.58512,-81.25318,patch reef,clear,no,0%,
6/10/2014,24.58987,-81.24923,patch reef,clear,no,0%,
6/11/2014,25.13963,-80.29403,reef,partly cloudy,yes,1-10%,
6/11/2014,25.13633,-80.28932,reef,partly cloudy,no,0%,
6/11/2014,24.55182,-81.38751,patch reef,no data,no,0%,
6/11/2014,24.55116,-81.3896,patch reef,no data,no,0%,
6/11/2014,24.57917,-81.49692,mid-channel reef,no data,no,0%,
6/18/2014,24.57985,-81.56383,patch reef,partly cloudy,yes,1-10%,
6/18/2014,24.54792,-81.59018,patch reef,partly cloudy,yes,31-50%,Lots of disease 
6/19/2014,24.70682,-80.86413,deep reef,clear,no,0%,
6/19/2014,24.71732,-80.84237,reef,clear,no,0%,
6/19/2014,24.53145,-81.48355,patch reef,no data,yes,1-10%,
6/23/2014,24.62005,-81.37068,patch reef,clear,yes,11-30%,
6/23/2014,24.59608,-81.45918,patch reef,clear,yes,11-30%,Some disease on Brain Coral
6/23/2014,24.5797,-81.56382,patch reef,partly cloudy,yes,31-50%,
